Column1,DIRECTORIO,DIRECTORIO_HOG,DIRECTORIO_PER,NVCAP99,DPTOMPIO,FEX_C,LOCALIDAD_TEX,COD_UPZ,CODLOCALIDAD,NVCBP1,NVCBP2,NVCBP3,NVCBP4,NVCBP5,NVCBP6,NVCBP7,NVCBP8A,NVCBP8B,NVCBP8C,NVCBP8E,NVCBP8F,NVCBP10,NVCBP11AA,NVCBP11DA,NVCBP13,NVCBP14A,NVCBP14C,NVCBP14D,NVCBP14E,NVCBP14F,NVCBP14G,NVCBP14I,NVCBP14K,NVCBP15A,NVCBP15C,NVCBP15D,NVCBP15E,NVCBP15F,NVCBP15G,NVCBP15H,NHCCP1,NHCCP2,NHCCP3,NHCCP5,NHCCP6,NHCCP7,NHCCP9,NHCCP10,NHCCP11,NHCCP12,NHCCP14,NHCCP14A,NHCCP15A,NHCCPCTRL2,NHCCP19,NHCCP20,NHCCP20A,NHCCP24,NHCCP26,NHCCP26A,NHCCP28A,NHCCP29A,NHCCP32,NHCCP35A,NHCCP38,NHCCP393,NHCCP39C,NHCCP39D,NHCCP39E,NHCCP39F,NHCCP39G,NHCCP399,NHCCP40A,NHCCP40D,NHCCP40E,NHCCP40F,NHCCP40G,NHCCP40H,NHCCP40I,NHCCP40J,NHCCP40K,NHCCP40L,NHCCP41,NHCCP41A,NHCCP41B,NHCCP42,NHCCP42A,NHCCP42CB,NHCCP44,NHCCP44B,NHCCP45,NHCCP45A,NHCCP45B,NHCCP46A,NHCCP46B,NHCCP46C,NHCCP46D,NHCCP46E,NHCCP46F,NHCCP46G,NHCCP46H,NHCCP46I,NHCCP46J,NHCCP46K,NHCCP46L,NHCCP46M,NHCDP1,NHCDP2,NHCDP2A,NHCDP2B,NHCDP3,NHCDP4,NHCDP4A,NHCDP4B,NHCDP5,NHCDP6,NHCDP6A,NHCDP6B,NHCDP7,NHCDP7A,NHCDP10,NHCDP10A,NHCDP11,NHCDP11B,NHCDP13,NHCDP15,NHCDP17,NHCDP17A,NHCDP18,NHCDP18B,NHCDP20,NHCDP21,NHCDP23,NHCDP23B,NHCDP24,NHCDP25,NHCDP25A,NHCDP26,NHCDP26A,NHCDP27,NHCDP27B,NHCDP29,NHCDP29B,NHCDP30A,NHCDP30B,NHCDP31,NHCDP32,NHCDP32B,ORDEN.E,NPCEP4,NPCEP5,NPCEP6,NPCEP7,NPCEP8A,NPCEP9,NPCEP9A,NPCEP9B,NPCEP10,NPCEP11A,NPCEP11AA,NPCEP11AB,NPCEP11AC,NPCEP11,NPCEP13,NPCEP13A,NPCEP13B,NPCEP13C,NPCEP15,NPCEP16A1,NPCEP16AA,NPCEP16AB,NPCEP16B1,NPCEP18,NPCEP19,NPCEP21,NPCEP21A,NPCEP22,NPCEP22A,NPCEP24,NPCEP24A,NPCEP25,NPCEP25A,NPCEP26,NPCEP5A,ORDEN.F,NPCFP2,NPCFP3,NPCFP5,NPCFP7,NPCFP8,NPCFP8A,NPCFP9,NPCFP11,NPCFP11A,NPCFP12,NPCFP14A,NPCFP14B,NPCFP14D,NPCFP14E,NPCFP14J,NPCFP15,NPCFP16,NPCFP18,NPCFP19,NPCFP20,NPCFP22,NPCFP23,NPCFP24,NPCFP24A,NPCFP24B,NPCFP26,NPCFP26A,NPCFP27,NPCFP29,NPCFP30,NPCFP32,NPCFP33A,NPCFP33AA,NPCFP33B,NPCFP33BA,NPCFP33C,NPCFP33CA,NPCFP33DA,NPCFP33E,NPCFP33EA,NPCFP33FA,NPCFP34,NPCFP35A,NPCFP35AA,NPCFP35BA,NPCFP36,NPCFP37,NPCFP39,NPCFP39A,NPCFP40A,NPCFP40B,NPCFP40C,NPCFP40D,NPCFP40E,NPCFP40F,NPCFP40,NPCFP42,NPCFP43A,NPCFP44,NPCFP45,ORDEN.G,ORDEN.H,NPCHP2,NPCHP3,NPCHP4,NPCHP4A,NPCHP5,NPCHP6,NPCHP6A,NPCHP7,NPCHP10,NPCHP10A,NPCHP11,NPCHP11A,NPCHP12,NPCHP13A,NPCHP13B,NPCHP14,NPCHP15A,NPCHP15B,NPCHP16,NPCHP17,NPCHP19B,NPCHP20,NPCHP20A,NPCHP20B,NPCHP21A,NPCHP21AA,NPCHP21B,NPCHP21BA,NPCHP21CA,NPCHP22,NPCHP22A,NPCHP23,NPCHP23A,NPCHP24AA,NPCHP24AB,NPCHP24BA,NPCHP24BB,NPCHP28A,NPCHP28B,NPCHP31AA,NPCHP31AB,NPCHP31BA,NPCHP31BB,NPCHP31CA,NPCHP31CB,NPCHP31DA,NPCHP31DB,NPCHP31EA,NPCHP31EB,NPCHP31FA,NPCHP31FB,NPCHP32,NPCHP32A,NPCHP33,NPCHP34,NPCHP34A,NPCHP35A,NPCHP35C,NPCHP35E,NPCHP35I
353,110145,1101451,11014514,23SEP2017:00:00:00,11001,37.431.589.344,SUBA,18.0,11.0,2,1.0,1,1,1,5,2.0,2,2,2,2,2,2,3.0,3.0,4,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,3,,,,,,,750000,1,,2,,,4,4,3,3,,2.0,,,,2.0,2.0,1,1,2,1,1,2,2,2,1,2,2,2,1,2,2,2,2,2,2,,,,,,2,,2,,,15.0,15.0,10,10,5,5,5,20,20,30,30,10,45,1,80000,2.0,2.0,1,80000,2.0,2.0,1,80000,2.0,2.0,2.0,,2.0,,35000,2.0,2.0,1,2.0,,15000,2.0,1.0,2,,,2,2,,1,1.0,2,,,,1.0,2.0,,,,4,7,1,3,,,2,,,1.0,1,,,,1,,,,,,1.0,,,,,,1,1.0,,,1,2.0,,,,1,4,1.0,,,2.0,2.0,,30.0,,,2,2,1,2,2,1,1,2,,,,,,,,,2,,,,2,,2,,1,2900,2,,,2,,,2900,2,,,,,,,,,,,,,,,,,,,4.0,1.0,,,,,2.0,1.0,,1.0,260000,2.0,,2.0,,,11.0,,"3,11769E+11",,1.0,5.0,2.0,,,1.0,"7,00E+05",1.0,"4,00E+05",,1.0,50000,2.0,,,,,,,,0.0,4.0,0.0,0.0,40.0,16.0,0.0,0.0,5.0,0.0,0.0,0.0,1.0,3.0,,,,,,,
354,110153,1101531,11015312,25SEP2017:00:00:00,11001,14.309.554.111,SUBA,18.0,11.0,2,1.0,1,1,1,5,2.0,2,2,2,2,2,2,3.0,3.0,4,2,2,2,2,2,2,2,2,1,1,2,2,2,1,2,1,,1.0,1.8e+08,1989.0,,1200000,,2,1.0,1,139000,,2,3,2,2,,2.0,,,,2.0,2.0,1,1,2,1,1,2,1,1,1,2,1,1,2,1,2,2,2,2,1,1.0,0.0,1.0,1.0,,2,,2,,,10.0,10.0,10,20,3,3,3,15,10,30,30,5,15,1,121000,2.0,2.0,1,121000,2.0,2.0,1,121000,2.0,2.0,2.0,,2.0,,118000,2.0,2.0,1,2.0,,16000,2.0,1.0,1,137000,2.0,2,1,1.0,2,,1,2.0,137000,2.0,,,1.0,137000,2.0,2,66,2,2,6.0,1.0,3,25.0,25430.0,2.0,2,25.0,25430.0,,2,2.0,,,,,1.0,,,,,,3,,2.0,,3,,2.0,,1.0,2,2,1.0,,,2.0,4.0,4.0,10.0,575000,1.0,2,1,1,2,2,2,1,1,7.0,2.0,1.0,,,,,,1,6.0,205000,1.0,1,2.0,2,,1,80000,2,,,1,18000,,46000,2,,,1.0,,,,1.0,1.0,,1.0,2.0,1.0,,,,,,,2.0,2.0,,4.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,4.0,1.0,0.0,35.0,14.0,,,5.0,1.0,3.0,2.0,,,,,,2.0,2.0,2.0,2.0
355,110155,1101551,11015513,25SEP2017:00:00:00,11001,29.555.557.152,SUBA,18.0,11.0,2,1.0,1,1,1,2,,2,2,2,2,2,1,3.0,3.0,4,2,2,2,2,2,2,2,1,1,1,1,2,2,1,2,2,550000,1.0,2.3e+08,2007.0,,1200000,,2,1.0,1,120000,,5,5,3,3,,2.0,,,,2.0,2.0,1,1,2,1,2,2,1,1,1,2,1,1,2,1,1,1,1,1,1,1.0,0.0,2.0,,,2,,1,3.0,0.0,5.0,5.0,5,15,5,2,2,15,20,30,30,10,20,1,134000,2.0,2.0,1,134000,2.0,2.0,1,134000,2.0,2.0,2.0,,2.0,,60000,2.0,2.0,1,2.0,,50000,2.0,1.0,1,120000,2.0,2,1,1.0,1,3.0,1,2.0,120000,2.0,,,1.0,120000,2.0,3,12,2,3,5.0,,2,,,1.0,1,,,,1,,,,,,1.0,,,,,,1,1.0,,,1,2.0,,,,2,3,1.0,,,2.0,4.0,2.0,75.0,,,2,2,1,2,2,2,1,2,,,,,,,,,2,,,,2,,2,,2,,2,,,2,,,0,2,,,2.0,,,,,,,,,,2.0,,,,,,3.0,1.0,,,,,3.0,7.0,,1.0,"8,00E+05",1.0,"2,00E+05",2.0,,,11.0,,98,,4.0,10.0,2.0,,,1.0,"7,00E+05",1.0,"1,00E+06",,1.0,20000,1.0,60000,,,,,,,3.0,3.0,3.0,4.0,35.0,16.0,0.0,0.0,2.0,0.0,2.0,0.0,1.0,2.0,,,,,,,
356,110167,1101671,11016713,27SEP2017:00:00:00,11001,28.477.325.793,SUBA,18.0,11.0,2,1.0,1,1,1,5,2.0,2,2,1,2,2,2,3.0,3.0,4,1,2,1,2,2,2,1,1,2,2,2,2,2,2,2,2,1300000,1.0,"2,00E+08",2015.0,1.55e+08,"1,00E+06",,2,1.0,1,150000,,3,4,2,2,,2.0,,,,2.0,2.0,1,2,2,1,2,2,2,2,1,1,1,1,2,1,2,1,1,2,1,1.0,1.0,1.0,1.0,,2,,2,,,3.0,4.0,5,30,10,5,5,30,10,30,10,30,60,1,135000,2.0,2.0,1,135000,2.0,2.0,1,135000,2.0,2.0,2.0,,2.0,,32000,2.0,2.0,1,2.0,,22000,2.0,1.0,1,70000,2.0,2,1,1.0,2,,1,1.0,120000,2.0,,,1.0,120000,2.0,3,8,2,3,,,2,,,1.0,1,,,,1,,,,,,1.0,,,,,,2,,9.0,1.0,1,1.0,,,,2,3,1.0,,,2.0,2.0,,15.0,31000,1.0,3,2,1,2,2,1,1,2,,,,,,,,,2,,,,1,1.0,2,,1,27000,2,,0,1,35000,,0,2,,,,,,,,,,,,,,,,,,,3.0,1.0,,,,,2.0,3.0,,1.0,860000,1.0,"3,00E+05",2.0,,,99.0,,,1.0,4.0,45.0,2.0,,,1.0,1200000,1.0,"3,00E+05",,2.0,,1.0,11000,,,,,,,3.0,0.0,3.0,0.0,40.0,16.0,0.0,0.0,0.0,0.0,5.0,0.0,2.0,,58.0,4.0,,,,,
357,110169,1101691,11016914,27SEP2017:00:00:00,11001,2.887.515.637,SUBA,18.0,11.0,4,1.0,1,1,1,5,2.0,2,2,2,2,2,2,3.0,3.0,4,2,2,2,2,2,2,1,1,1,2,1,2,2,2,2,3,,,,,,,830000,2,5.0,2,,,4,3,3,3,,2.0,,,,2.0,2.0,1,2,2,1,1,2,1,1,1,2,1,1,1,1,2,1,1,2,2,,,,,,2,,1,2.0,0.0,3.0,4.0,2,15,5,2,5,10,5,15,15,10,30,1,48620,2.0,1.0,1,22361,2.0,1.0,1,22390,2.0,1.0,2.0,,2.0,,66160,1.0,2.0,1,2.0,,23100,1.0,1.0,1,40000,2.0,1,2,,2,,1,1.0,35000,2.0,,,1.0,35000,2.0,4,8,1,3,,,2,,,1.0,1,,,,1,,,,,,2.0,2.0,,8.0,,,2,,6.0,,2,,8.0,,,1,4,1.0,,,2.0,2.0,,25.0,,,2,2,2,2,2,2,1,2,,,,,,,,,2,,,,2,,2,,2,,2,,,2,,,0,2,,,,,,,,,,,,,,,,,,,4.0,1.0,,,,,2.0,2.0,,1.0,111500,2.0,,2.0,,,11.0,,"3,11001E+11",,4.0,5.0,2.0,,,1.0,450000,1.0,"1,00E+05",30000,2.0,,1.0,60000,,,,,,,0.0,4.0,0.0,1.0,50.0,20.0,0.0,0.0,5.0,0.0,2.0,0.0,4.0,,,,,,,,
358,110191,1101911,11019112,24SEP2017:00:00:00,11001,38.539.035.659,SUBA,19.0,11.0,4,1.0,1,1,1,5,2.0,2,2,2,2,2,2,4.0,3.0,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,,,,,,,1200000,1,,1,"2,00E+05",,3,4,3,3,,2.0,,,,2.0,2.0,1,1,2,2,2,2,1,1,1,1,1,1,2,1,1,1,2,2,2,,,,,,2,,2,,,10.0,5.0,5,60,3,5,5,5,15,30,30,10,10,1,65000,1.0,2.0,1,70000,1.0,2.0,1,23000,1.0,2.0,2.0,,2.0,,60000,2.0,2.0,1,2.0,,35000,2.0,1.0,1,35000,2.0,1,1,1.0,2,,1,1.0,75000,2.0,,,1.0,60000,2.0,2,20,2,3,5.0,,2,,,1.0,1,,,,1,,,,,,2.0,1.0,19.0,8.0,,,2,,4.0,,1,1.0,,,1.0,2,2,,8.0,,,,,,,,1,2,2,2,2,2,3,2,,,,,,,,,2,,,,2,,2,,2,,2,,,2,,,20000,2,,,4.0,2.0,,,2.0,,,2.0,2.0,2.0,2.0,,,1.0,1.0,,2.0,1.0,,,,,7.0,1.0,1.0,,,,,2.0,,,,,,,,30.0,2.0,,,1.0,"6,00E+06",1.0,"3,00E+05",,1.0,30000,2.0,,,,,,,,30.0,5.0,30.0,15.0,40.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,2.0,2.0,2.0,2.0
359,110196,1101961,11019613,26SEP2017:00:00:00,11001,50.223.573.895,SUBA,19.0,11.0,2,1.0,1,1,1,6,1.0,1,2,2,2,2,2,4.0,3.0,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,,1.0,2.4e+08,2002.0,,1200000,,1,,1,270000,,4,3,3,3,,2.0,,,,2.0,2.0,1,1,2,1,1,2,2,2,1,1,1,1,2,1,2,1,1,2,1,3.0,2.0,1.0,3.0,2.0,2,,1,1.0,1.0,4.0,5.0,5,5,5,5,3,4,47,26,36,26,65,1,160000,2.0,2.0,1,56000,2.0,2.0,1,27800,2.0,2.0,2.0,,2.0,,50000,2.0,2.0,1,2.0,,20000,2.0,2.0,1,30000,1.0,2,1,3.0,1,1.0,1,1.0,80000,2.0,,,1.0,20000,2.0,3,6,2,3,,,2,,,1.0,1,,,,1,,,,,,1.0,,,,,,1,1.0,,,1,2.0,,,,2,3,1.0,,,2.0,2.0,,2.0,150000,1.0,3,2,2,2,2,1,1,2,,,,,,,,,1,2.0,"1,00E+05",1.0,2,,2,,2,,1,3000,,2,,,0,2,,,,,,,,,,,,,,,,,,,3.0,1.0,,,,,1.0,1.0,,1.0,1400000,1.0,"1,00E+05",2.0,,,99.0,,,1.0,4.0,70.0,2.0,,,1.0,1700000,1.0,1500000,,2.0,,1.0,"2,00E+05",,,,,,,0.0,2.0,0.0,0.0,36.0,26.0,20.0,13.0,35.0,20.0,7.0,2.0,1.0,4.0,,,,,,,
360,110196,1101961,11019614,26SEP2017:00:00:00,11001,50.223.573.895,SUBA,19.0,11.0,2,1.0,1,1,1,6,1.0,1,2,2,2,2,2,4.0,3.0,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,,1.0,2.4e+08,2002.0,,1200000,,1,,1,270000,,4,3,3,3,,2.0,,,,2.0,2.0,1,1,2,1,1,2,2,2,1,1,1,1,2,1,2,1,1,2,1,3.0,2.0,1.0,3.0,2.0,2,,1,1.0,1.0,4.0,5.0,5,5,5,5,3,4,47,26,36,26,65,1,160000,2.0,2.0,1,56000,2.0,2.0,1,27800,2.0,2.0,2.0,,2.0,,50000,2.0,2.0,1,2.0,,20000,2.0,2.0,1,30000,1.0,2,1,3.0,1,1.0,1,1.0,80000,2.0,,,1.0,20000,2.0,4,1,1,3,,,2,,,1.0,1,,,,1,,,,,,,,,,,,1,1.0,,,1,2.0,,,,1,4,1.0,,,2.0,2.0,,2.0,"2,00E+05",1.0,2,2,2,2,2,1,1,2,,,,,,,,,2,,,,2,,2,,2,,2,,,2,,,0,2,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
361,110197,1101971,11019713,26SEP2017:00:00:00,11001,40.205.581.064,SUBA,19.0,11.0,2,1.0,1,1,1,7,1.0,2,2,2,2,2,2,4.0,3.0,5,2,2,2,1,2,2,1,2,1,1,2,1,2,2,2,3,,,,,,,"8,00E+05",2,3.0,2,,,3,3,2,2,,2.0,,,,2.0,2.0,1,2,2,1,1,2,2,2,1,1,2,1,2,1,1,2,2,2,2,,,,,,2,,2,,,5.0,5.0,4,26,26,3,3,4,4,3,36,26,36,1,37903,2.0,1.0,1,33794,2.0,1.0,1,18100,2.0,1.0,2.0,,2.0,,44900,1.0,2.0,1,2.0,,79480,1.0,2.0,1,85400,1.0,2,1,2.0,2,,1,1.0,83000,1.0,,,2.0,,,3,9,2,3,,,2,,,1.0,1,,,,1,,,,,,1.0,,,,,,2,,4.0,,1,1.0,,,,2,3,1.0,,,2.0,1.0,,20.0,150000,1.0,1,2,2,2,2,1,1,2,,,,,,,,,1,2.0,80000,1.0,2,,1,2600,1,2600,1,50000,,1,2600,,70000,2,,,,,,,,,,,,,,,,,,,3.0,1.0,,,,,2.0,3.0,,1.0,860000,1.0,"2,00E+05",1.0,25.0,25214.0,,,,2.0,4.0,60.0,2.0,,,1.0,420000,1.0,620000,,2.0,,1.0,23000,,,,,,,0.0,4.0,0.0,0.0,30.0,15.0,5.0,3.0,0.0,5.0,0.0,0.0,1.0,1.0,,,,,,,
362,110207,1102071,11020713,25SEP2017:00:00:00,11001,41.626.479.487,SUBA,18.0,11.0,1,,1,2,1,1,,2,2,2,2,2,2,3.0,3.0,4,2,2,2,2,2,2,2,2,2,1,1,2,2,1,2,1,,1.0,"4,00E+08",2000.0,,"1,00E+06",,2,1.0,3,,,3,4,2,2,,2.0,,,,1.0,1.0,2,1,2,2,2,2,1,2,1,1,2,1,2,1,1,2,1,1,1,1.0,0.0,1.0,1.0,,1,0.0,1,2.0,0.0,4.0,4.0,2,45,1,3,3,6,15,20,10,3,40,1,50000,2.0,2.0,1,50000,2.0,2.0,1,20000,2.0,2.0,2.0,,2.0,,150000,2.0,2.0,1,2.0,,17000,2.0,1.0,1,40000,2.0,2,1,1.0,1,1.0,1,2.0,60000,2.0,,,1.0,40000,2.0,3,16,1,3,5.0,,1,,,,3,,,ESPANA,2,4.0,,,ESPANA,,,,,,,,1,1.0,,,1,2.0,,,,1,3,1.0,,,2.0,2.0,,40.0,,,2,2,2,2,2,1,3,2,,,,,,,,,1,1.0,0,2.0,2,,2,,2,,2,,,2,,,50000,2,,,1.0,,,,,,,1.0,2.0,2.0,,,,1.0,1.0,,3.0,1.0,,,,,3.0,9.0,,1.0,"2,00E+05",2.0,,2.0,,,11.0,,"3,11769E+11",,4.0,10.0,2.0,,,1.0,"4,00E+05",1.0,"7,00E+05",150000,1.0,20000,1.0,30000,,,,,,,2.0,0.0,2.0,2.0,30.0,16.0,0.0,0.0,10.0,0.0,15.0,4.0,1.0,1.0,,,,,,,
363,110245,1102451,11024512,20SEP2017:00:00:00,11001,11.853.698.836,FONTIBON,114.0,9.0,2,1.0,1,1,1,8,1.0,2,2,2,2,2,2,4.0,3.0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,,1.0,3.8e+08,2015.0,3.05e+08,1800000,,2,1.0,1,270000,,4,4,2,2,,1.0,,,,3.0,3.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1.0,0.0,1.0,1.0,,2,,1,1.0,1.0,20.0,5.0,5,30,5,5,5,15,20,30,30,5,20,1,54071,2.0,1.0,1,26456,2.0,1.0,1,27150,2.0,1.0,2.0,,2.0,,72030,1.0,2.0,1,2.0,,50000,2.0,1.0,1,35000,2.0,2,1,1.0,1,1.0,1,1.0,50000,2.0,1.0,2.0,1.0,90000,2.0,2,34,1,2,6.0,1.0,2,,,1.0,1,,,,1,,,,,,1.0,,,,,,2,,4.0,,2,,4.0,,2.0,1,2,3.0,,,2.0,1.0,,20.0,390000,1.0,2,2,2,2,2,2,2,2,,,,,,,,,1,1.0,0,1.0,2,,2,,2,,2,,,2,,,40000,1,"4,00E+05",30000,4.0,3.0,,,,,,2.0,2.0,2.0,,,,,,,2.0,2.0,2.0,13.0,2.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,3.0,0.0,0.0,40.0,16.0,,,0.0,0.0,3.0,3.0,,,,,,2.0,2.0,2.0,2.0
364,110245,1102451,11024513,20SEP2017:00:00:00,11001,11.853.698.836,FONTIBON,114.0,9.0,2,1.0,1,1,1,8,1.0,2,2,2,2,2,2,4.0,3.0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,,1.0,3.8e+08,2015.0,3.05e+08,1800000,,2,1.0,1,270000,,4,4,2,2,,1.0,,,,3.0,3.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1.0,0.0,1.0,1.0,,2,,1,1.0,1.0,20.0,5.0,5,30,5,5,5,15,20,30,30,5,20,1,54071,2.0,1.0,1,26456,2.0,1.0,1,27150,2.0,1.0,2.0,,2.0,,72030,1.0,2.0,1,2.0,,50000,2.0,1.0,1,35000,2.0,2,1,1.0,1,1.0,1,1.0,50000,2.0,1.0,2.0,1.0,90000,2.0,3,4,2,3,,,2,,,1.0,1,,,,1,,,,,,,,,,,,1,2.0,,,1,1.0,,,,2,3,2.0,,,1.0,1.0,,30.0,,,1,2,2,2,2,2,1,2,,,,,,,,,1,1.0,0,2.0,2,,2,,1,0,2,,0,2,,,0,2,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
365,110254,1102541,11025412,26SEP2017:00:00:00,11001,84.710.438.446,FONTIBON,114.0,9.0,4,1.0,1,2,2,4,2.0,2,2,2,2,2,2,4.0,3.0,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,,1.0,2.8e+08,2009.0,,1300000,,2,1.0,1,60000,,2,4,1,1,,2.0,,,,2.0,2.0,1,2,1,1,1,2,1,2,1,1,1,1,2,1,2,2,2,2,1,1.0,0.0,1.0,1.0,,2,,2,,,30.0,5.0,5,60,10,5,5,30,30,120,120,5,30,1,71360,2.0,1.0,1,18586,2.0,1.0,1,28650,2.0,1.0,2.0,,2.0,,41000,1.0,2.0,1,2.0,,20970,1.0,2.0,1,37999,1.0,2,2,,2,,2,,,,,,1.0,38880,1.0,2,76,2,2,6.0,1.0,3,25.0,25580.0,1.0,2,25.0,25580.0,,2,2.0,,,,,1.0,,,,,,2,,2.0,,2,,2.0,,1.0,2,2,1.0,,,2.0,1.0,,60.0,240000,1.0,3,1,1,2,1,1,1,1,0.0,1.0,1.0,,,,,,2,,,,2,,1,11300,1,11300,2,,,1,22600,,11300,2,,,1.0,,,,2.0,2.0,,1.0,2.0,1.0,,,,,,,2.0,2.0,,3.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,3.0,0.0,0.0,30.0,12.0,,,3.0,1.0,3.0,0.0,,,,,,2.0,2.0,2.0,2.0
366,110255,1102551,11025511,26SEP2017:00:00:00,11001,10.111.730.175,FONTIBON,114.0,9.0,1,,1,1,1,8,1.0,2,2,2,2,2,2,4.0,3.0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,,1.0,3.5e+07,2001.0,,1500000,,2,1.0,1,124000,,1,2,2,2,,1.0,,,,1.0,1.0,1,1,1,1,1,2,1,1,1,2,2,2,1,2,2,2,2,2,2,,,,,,2,,2,,,20.0,5.0,5,5,5,5,5,20,29,30,20,5,20,1,52370,2.0,1.0,1,23655,2.0,1.0,1,27150,2.0,1.0,2.0,,2.0,,92100,1.0,2.0,2,,,,,,2,,,2,2,,2,,2,,,,,,3.0,,,1,87,2,1,3.0,,3,25.0,25473.0,1.0,1,,,,2,2.0,,,,,1.0,,,,,,2,,2.0,,2,,1.0,3.0,1.0,2,1,3.0,,,1.0,3.0,1.0,20.0,,,3,1,1,2,2,2,1,2,,,,,,,,,1,2.0,29000,3.0,2,,1,2900,1,2900,2,,0,1,2900,,2900,2,,2900,4.0,1.0,,,2.0,1.0,,1.0,1.0,1.0,,,,,,,1.0,2.0,,3.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,6.0,0.0,0.0,25.0,10.0,,,0.0,0.0,0.0,0.0,,,,,,2.0,2.0,2.0,2.0
367,110259,1102591,11025912,09SEP2017:00:00:00,11001,93.802.583.696,TEUSAQUILLO,107.0,13.0,4,1.0,1,1,1,7,1.0,2,2,2,2,2,2,4.0,3.0,4,2,2,2,2,2,2,2,2,2,2,1,2,2,1,2,4,,,,,,1600000,,1,,1,308000,,3,4,3,3,,2.0,,,,2.0,2.0,1,1,1,1,1,2,2,1,1,1,1,1,2,1,1,1,2,2,1,1.0,1.0,1.0,1.0,,2,,1,3.0,1.0,10.0,5.0,5,60,5,5,5,5,50,30,15,10,20,1,35606,2.0,1.0,1,31259,2.0,1.0,1,27760,2.0,1.0,2.0,,2.0,,89000,1.0,1.0,1,2.0,,14950,1.0,1.0,1,30423,1.0,1,1,1.0,2,,1,2.0,46000,1.0,,,1.0,103000,1.0,2,25,1,3,5.0,,2,,,1.0,1,,,,1,,,,,,2.0,1.0,11.0,7.0,,,2,,6.0,,1,1.0,,,2.0,1,2,1.0,,95000,2.0,3.0,5.0,20.0,,,2,2,2,2,2,2,3,2,,,,,,,,,2,,,,2,,1,3600,1,150000,1,150000,,2,,,0,1,1500000,,2.0,,,,,,,1.0,1.0,1.0,,,,1.0,1.0,,2.0,1.0,,,,,7.0,4.0,4.0,,,,,2.0,,,,,,,,30.0,2.0,,,1.0,1.4e+07,1.0,"6,00E+05",,1.0,"1,00E+05",2.0,,,,,,"7,00E+06",3.0,8.0,4.0,8.0,4.0,20.0,10.0,0.0,0.0,4.0,0.0,4.0,0.0,,,,,,1.0,1.0,2.0,2.0
368,110272,1102721,11027212,21SEP2017:00:00:00,11001,99.416.355.112,TEUSAQUILLO,107.0,13.0,4,1.0,1,1,1,6,1.0,2,2,2,2,2,2,4.0,3.0,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,,1.0,2.5e+08,1994.0,,1700000,,2,3.0,1,230000,,3,4,2,2,,2.0,,,,2.0,2.0,1,2,2,1,2,2,2,2,1,2,1,1,2,1,2,1,1,2,2,,,,,,2,,2,,,5.0,5.0,3,40,7,7,3,15,45,30,15,5,30,1,44791,2.0,1.0,1,41398,2.0,1.0,1,27570,2.0,1.0,2.0,,2.0,,57200,1.0,2.0,1,2.0,,32770,2.0,2.0,1,170000,1.0,2,1,2.0,2,,1,1.0,170000,1.0,,,1.0,170000,1.0,2,35,2,2,1.0,1.0,2,,,1.0,1,,,,1,,,,,,2.0,1.0,10.0,4.0,,,2,,4.0,,2,,4.0,,1.0,2,2,,5.0,,,,,,,,4,2,2,2,1,2,2,1,7.0,3.0,2.0,,,,,,1,1.0,2800000,2.0,1,3.0,1,2500,1,2900,2,,,1,30000,,"2,00E+05",1,"1,00E+05",8700,1.0,,2.0,,2.0,,,1.0,2.0,2.0,2.0,,,,,,2.0,2.0,,9.0,7.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.0,10.0,25.0,16.0,30.0,12.0,,,4.0,4.0,10.0,6.0,,,,,,1.0,1.0,1.0,1.0
